"","x"
"225",3
"226",4
"227",9
"228",1
"229",6
"230",10
"231",4
"232",3
"233",1
"234",7
"235",3
"236",3
"237",5
"238",0
"239",1
"240",0
"241",3
"242",2
"243",3
"244",1
"245",6
"246",6
"247",3
"248",0
"249",7
"250",2
"251",2
"252",0
"253",9
"254",4
"255",9
"256",0
"257",3
"258",18
"259",12
"260",2
"261",7
"262",4
"263",2
"264",1
"265",0
"266",0
"267",4
"268",1
"269",1
"270",2
"271",1
"272",0
"273",4
"274",2
"275",9
"276",1
"277",1
"278",8
"279",7
"280",0
"281",3
"282",4
"283",9
"284",1
"285",0
"286",13
"287",5
"288",2
"289",0
"290",4
"291",2
"292",1
"293",5
"294",5
"295",1
"296",2
"297",1
"298",3
"299",2
"300",8
"301",2
"302",1
"303",0
"304",0
"305",0
"306",0
"307",4
"308",2
"309",15
"310",1
"311",3
"312",5
"313",0
"314",0
"315",6
"316",3
"317",1
"318",3
"319",0
"320",3
"321",2
"322",5
"323",2
"324",1
"325",8
"326",0
"327",7
"328",0
"329",1
"330",22
"331",2
"332",2
"333",5
"334",0
"335",9
"336",1
"337",0
"338",1
"339",4
"340",11
"341",0
"342",3
"343",2
"344",4
"345",5
"346",2
"347",11
"348",0
"349",1
"350",1
"351",2
"352",3
"353",1
"354",0
"355",1
"356",0
"357",0
"358",0
"359",0
"360",1
"361",1
"362",2
"363",3
"364",10
"365",0
"366",2
"367",0
"368",2
"369",2
"370",2
"371",8
"372",2
"373",3
"374",2
"375",2
"376",1
"377",1
"378",3
"379",6
"380",0
"381",9
"382",7
"383",4
"384",4
"385",6
"386",7
"387",2
"388",1
"389",0
"390",1
"391",6
"392",3
"393",3
"394",1
"395",1
"396",1
"397",5
"398",0
"399",1
"400",14
"401",4
"402",5
"403",0
"404",10
"405",3
"406",0
"407",4
"408",1
"409",3
"410",0
"411",6
"412",3
"413",0
"414",0
"415",2
"416",2
"417",1
"418",5
"419",5
"420",0
"421",0
"422",8
"423",14
"424",7
"425",11
"426",2
"427",2
"428",2
"429",1
"430",0
"431",2
"432",2
"433",0
"434",2
"435",1
"436",7
"437",1
"438",4
"439",17
"440",5
"441",0
"442",0
"443",18
"444",1
"445",1
"446",2
"447",2
"448",0
"449",1
"450",1
"451",0
"452",0
"453",4
"454",10
"455",0
"456",2
"457",1
"458",4
"459",1
"460",0
"461",6
"462",2
"463",2
"464",3
"465",1
"466",1
"467",2
"468",2
"469",1
"470",1
"471",4
"472",1
"473",12
"474",0
"475",3
"476",1
"477",0
"478",23
"479",2
"480",4
"481",6
"482",1
"483",3
"484",3
"485",2
"486",2
"487",2
"488",1
"489",8
"490",0
"491",1
"492",2
"493",1
"494",0
"495",8
"496",2
"497",1
"498",0
"499",8
"500",6
"501",14
"502",0
"503",1
"504",5
"505",1
"506",2
"507",0
"508",0
"509",1
"510",0
"511",1
"512",2
"513",2
"514",2
"515",5
"516",4
"517",0
"518",2
"519",0
"520",7
"521",0
"522",0
"523",0
"524",0
"525",0
"526",1
"527",2
"528",5
"529",2
"530",4
"531",2
"532",2
"533",1
"534",3
"535",2
"536",1
"537",9
"538",0
"539",3
"540",18
"541",2
"542",0
"543",1
"544",16
"545",4
"546",11
"547",3
"548",1
"549",0
"550",7
"551",0
"552",3
"553",1
"554",1
"555",1
"556",0
"557",2
"558",0
"559",0
"560",7
"561",14
"562",2
"563",2
"564",3
"565",1
"566",0
"567",3
"568",6
"569",1
"570",2
"571",13
"572",6
"573",8
"574",3
"575",0
"576",1
"577",0
"578",2
"579",2
"580",4
"581",3
"582",1
"583",0
"584",3
"585",3
"586",6
"587",1
"588",0
"589",0
"590",5
"591",2
"592",1
"593",1
"594",3
"595",8
"596",0
"597",1
"598",3
"599",2
"600",0
"601",2
"602",5
"603",0
"604",6
"605",2
"606",7
"607",7
"608",6
"609",0
"610",5
"611",1
"612",0
"613",0
"614",1
"615",7
"616",2
"617",0
"618",0
"619",2
"620",0
"621",0
"622",1
"623",1
"624",4
"625",3
"626",7
"627",3
"628",20
"629",0
"630",7
"631",0
"632",2
"633",3
"634",6
"635",6
"636",8
"637",0
"638",8
"639",7
"640",2
"641",6
"642",3
"643",2
"644",1
"645",1
"646",3
"647",4
"648",9
"649",5
"650",2
"651",3
"652",6
"653",3
"654",20
"655",3
"656",7
"657",0
"658",2
"659",0
"660",2
"661",2
"662",4
"663",14
"664",3
"665",6
"666",2
"667",0
"668",2
"669",0
"670",1
"671",1
"672",1
"673",3
"674",3
"675",0
"676",6
"677",0
"678",1
"679",3
"680",4
"681",2
"682",2
"683",1
"684",6
"685",3
"686",9
"687",2
"688",0
"689",1
"690",3
"691",11
"692",7
"693",7
"694",0
"695",8
"696",1
"697",5
"698",4
"699",0
"700",0
"701",2
"702",8
"703",13
"704",1
"705",0
"706",8
"707",3
"708",4
"709",8
"710",6
"711",1
"712",16
"713",0
"714",8
"715",3
"716",2
"717",6
"718",3
"719",13
"720",2
"721",1
"722",2
"723",4
"724",5
"725",2
"726",3
"727",1
"728",8
"729",2
"730",1
"731",2
"732",3
"733",1
"734",0
"735",1
"736",2
"737",12
"738",0
"739",0
"740",9
"741",7
"742",9
"743",4
"744",9
"745",2
"746",0
"747",0
"748",1
"749",8
"750",6
"751",2
"752",0
"753",0
"754",1
"755",0
"756",1
"757",3
"758",1
"759",7
"760",0
"761",0
"762",10
"763",2
"764",1
"765",12
"766",0
"767",10
"768",5
"769",0
"770",1
"771",5
"772",0
"773",5
"774",0
"775",0
"776",3
"777",1
"778",0
"779",3
"780",1
"781",2
"782",1
"783",6
"784",5
"785",2
"786",6
"787",2
"788",3
"789",4
"790",7
"791",1
"792",1
"793",1
"794",7
"795",0
"796",5
"797",6
"798",10
"799",0
"800",1
"801",1
"802",0
"803",1
"804",0
"805",1
"806",0
"807",2
"808",10
"809",6
"810",1
"811",0
"812",4
"813",10
"814",7
"815",5
"816",1
"817",1
"818",1
"819",0
"820",0
"821",6
"822",0
"823",1
"824",8
"825",3
"826",1
"827",3
"828",2
"829",11
"830",6
"831",1
"832",13
"833",5
"834",2
"835",5
"836",7
"837",0
"838",24
"839",1
"840",2
"841",2
"842",4
"843",0
"844",3
"845",1
"846",2
"847",0
"848",2
"849",3
"850",2
"851",8
"852",3
"853",0
"854",10
"855",6
"856",1
"857",3
"858",2
"859",1
"860",3
"861",9
"862",4
"863",1
"864",0
"865",3
"866",10
"867",2
"868",0
"869",0
"870",2
"871",0
"872",14
"873",1
"874",1
"875",11
"876",3
"877",0
"878",3
"879",15
"880",0
"881",0
"882",1
"883",3
"884",1
"885",2
"886",1
"887",0
"888",1
"889",7
"890",1
"891",0
"892",1
"893",0
"894",5
"895",6
"896",2
"897",4
"898",1
"899",2
"900",3
"901",0
"902",3
"903",3
"904",1
"905",2
"906",2
"907",6
"908",5
"909",0
"910",1
"911",1
"912",1
"913",0
"914",1
"915",2
"916",0
"917",8
"918",2
"919",3
"920",0
"921",0
"922",1
"923",1
"924",9
"925",0
"926",1
"927",0
"928",7
"929",5
"930",0
"931",2
"932",4
"933",1
"934",3
"935",4
"936",0
"937",0
"938",0
"939",5
"940",3
"941",3
"942",4
"943",0
"944",8
"945",0
"946",5
"947",5
"948",6
"949",3
"950",0
"951",0
"952",1
"953",0
"954",4
"955",2
"956",0
"957",0
"958",0
"959",3
"960",6
"961",5
"962",1
"963",8
"964",1
"965",2
"966",6
"967",8
"968",0
"969",4
"970",0
"971",4
"972",4
"973",2
"974",1
"975",1
"976",0
"977",0
"978",0
"979",6
"980",0
"981",3
"982",7
"983",7
"984",2
"985",1
"986",27
"987",0
"988",0
"989",3
"990",3
"991",1
"992",0
"993",0
"994",4
"995",0
"996",1
"997",0
"998",1
"999",4
"1000",14
"1001",3
"1002",0
"1003",3
"1004",16
"1005",1
"1006",1
"1007",4
"1008",2
"1009",7
"1010",5
"1011",0
"1012",1
"1013",0
"1014",3
"1015",2
"1016",0
"1017",0
"1018",7
"1019",2
"1020",2
"1021",8
"1022",1
"1023",9
"1024",4
"1025",0
"1026",2
"1027",4
"1028",7
"1029",0
"1030",1
"1031",1
"1032",3
"1033",1
"1034",9
"1035",2
"1036",7
"1037",4
"1038",0
"1039",2
"1040",6
"1041",1
"1042",5
"1043",5
"1044",3
"1045",2
"1046",1
"1047",2
"1048",4
"1049",0
"1050",1
"1051",0
"1052",2
"1053",2
"1054",0
"1055",2
"1056",6
"1057",5
"1058",10
"1059",4
"1060",2
"1061",11
"1062",3
"1063",0
"1064",1
"1065",0
"1066",3
"1067",3
"1068",4
"1069",5
"1070",2
"1071",2
"1072",2
"1073",2
"1074",1
"1075",24
"1076",1
"1077",0
"1078",0
"1079",0
"1080",0
"1081",0
"1082",2
"1083",5
"1084",1
"1085",6
"1086",3
"1087",2
"1088",3
"1089",0
"1090",0
"1091",1
"1092",12
"1093",1
"1094",2
"1095",3
"1096",0
"1097",2
"1098",1
"1099",10
"1100",2
"1101",1
"1102",6
"1103",2
"1104",4
"1105",5
"1106",8
"1107",1
"1108",1
"1109",4
"1110",1
"1111",4
"1112",1
"1113",0
"1114",2
"1115",1
"1116",5
"1117",0
"1118",0
"1119",1
"1120",2
"1121",7
"1122",4
"1123",2
"1124",2
"1125",6
"1126",3
"1127",4
"1128",1
"1129",8
"1130",1
"1131",0
"1132",3
"1133",1
"1134",1
"1135",0
"1136",2
"1137",2
"1138",5
"1139",1
"1140",0
"1141",2
"1142",1
"1143",3
"1144",10
"1145",0
"1146",1
"1147",0
"1148",4
"1149",0
"1150",0
"1151",0
"1152",0
"1153",0
"1154",2
"1155",7
"1156",1
"1157",5
"1158",1
"1159",6
"1160",1
"1161",0
"1162",0
"1163",18
"1164",4
"1165",0
"1166",0
"1167",4
"1168",13
"1169",1
"1170",2
"1171",1
"1172",1
"1173",2
"1174",2
"1175",2
"1176",15
"1177",2
"1178",2
"1179",2
"1180",2
"1181",9
"1182",4
"1183",2
"1184",8
"1185",4
"1186",5
"1187",9
"1188",5
"1189",3
"1190",2
"1191",2
"1192",7
"1193",5
"1194",2
"1195",6
"1196",9
"1197",0
"1198",1
"1199",3
"1200",5
"1201",7
"1202",0
"1203",2
"1204",0
"1205",0
"1206",5
"1207",0
"1208",14
"1209",1
"1210",2
"1211",2
"1212",1
"1213",5
"1214",0
"1215",7
"1216",1
"1217",5
"1218",3
"1219",1
"1220",0
"1221",5
"1222",6
"1223",8
"1224",0
"1225",4
"1226",0
"1227",0
"1228",6
"1229",0
"1230",0
"1231",0
"1232",0
"1233",20
"1234",2
"1235",2
"1236",19
"1237",6
"1238",1
"1239",4
"1240",2
"1241",5
"1242",5
"1243",1
"1244",5
"1245",2
"1246",3
"1247",4
"1248",6
"1249",0
"1250",10
"1251",5
"1252",0
"1253",7
"1254",0
"1255",7
"1256",2
"1257",1
"1258",6
"1259",3
"1260",1
"1261",14
"1262",3
"1263",1
"1264",0
"1265",7
"1266",3
"1267",0
"1268",2
"1269",0
"1270",1
"1271",7
"1272",6
"1273",1
"1274",0
"1275",0
"1276",3
"1277",1
"1278",0
"1279",5
"1280",0
"1281",0
"1282",2
"1283",1
"1284",0
"1285",0
"1286",2
"1287",4
"1288",4
"1289",0
"1290",3
"1291",1
"1292",6
"1293",5
"1294",5
"1295",1
"1296",0
"1297",4
"1298",5
"1299",9
"1300",4
"1301",3
"1302",3
"1303",5
"1304",1
"1305",3
"1306",1
"1307",9
"1308",0
"1309",4
"1310",8
"1311",5
"1312",4
"1313",0
"1314",2
"1315",6
"1316",7
"1317",2
"1318",8
"1319",2
"1320",7
"1321",8
"1322",2
"1323",1
"1324",0
"1325",2
"1326",4
"1327",0
"1328",2
"1329",2
"1330",3
"1331",0
"1332",3
"1333",6
"1334",5
"1335",0
"1336",1
"1337",1
"1338",1
"1339",9
"1340",2
"1341",2
"1342",3
"1343",0
"1344",0
"1345",4
"1346",0
"1347",4
"1348",1
"1349",1
"1350",4
"1351",9
"1352",0
"1353",1
"1354",5
"1355",10
"1356",4
"1357",5
"1358",15
"1359",3
"1360",0
"1361",4
"1362",1
"1363",5
"1364",0
"1365",0
"1366",1
"1367",3
"1368",6
"1369",2
"1370",1
"1371",0
"1372",2
"1373",2
"1374",1
"1375",7
"1376",3
"1377",4
"1378",1
"1379",1
"1380",8
"1381",0
"1382",3
"1383",5
"1384",3
"1385",5
"1386",0
"1387",2
"1388",0
"1389",3
"1390",0
"1391",0
"1392",7
"1393",7
"1394",9
"1395",0
"1396",0
"1397",3
"1398",1
"1399",1
"1400",0
"1401",0
"1402",0
"1403",0
"1404",2
"1405",2
"1406",7
"1407",5
"1408",7
"1409",2
"1410",1
"1411",6
"1412",7
"1413",1
"1414",3
"1415",0
"1416",2
"1417",0
"1418",1
"1419",7
"1420",1
"1421",1
"1422",10
"1423",5
"1424",6
"1425",1
"1426",0
"1427",7
"1428",1
"1429",1
"1430",4
"1431",2
"1432",0
"1433",5
"1434",2
"1435",2
"1436",0
"1437",0
"1438",4
"1439",1
"1440",2
"1441",3
"1442",0
"1443",0
"1444",1
"1445",1
"1446",9
"1447",7
"1448",1
"1449",3
"1450",5
"1451",0
"1452",6
"1453",3
"1454",1
"1455",6
"1456",3
"1457",2
"1458",1
"1459",1
"1460",1
"1461",7
"1462",0
"1463",3
"1464",7
"1465",4
"1466",2
"1467",0
"1468",6
"1469",3
"1470",0
"1471",5
"1472",0
"1473",0
"1474",2
"1475",2
"1476",12
"1477",2
"1478",0
"1479",5
"1480",2
"1481",3
"1482",3
"1483",1
"1484",2
"1485",1
"1486",3
"1487",8
"1488",5
"1489",9
"1490",3
"1491",0
"1492",1
"1493",1
"1494",0
"1495",1
"1496",1
"1497",10
"1498",0
"1499",0
"1500",0
"1501",0
"1502",12
"1503",0
"1504",0
"1505",0
"1506",0
"1507",3
"1508",4
"1509",1
"1510",0
"1511",1
"1512",6
"1513",4
"1514",4
"1515",4
"1516",0
"1517",0
"1518",0
"1519",8
"1520",4
"1521",6
"1522",2
"1523",1
"1524",1
"1525",5
"1526",6
"1527",1
"1528",0
"1529",1
"1530",14
"1531",0
"1532",24
"1533",2
"1534",0
"1535",2
"1536",0
"1537",0
"1538",7
"1539",12
"1540",3
"1541",3
"1542",1
"1543",2
"1544",1
"1545",0
"1546",5
"1547",0
"1548",1
"1549",0
"1550",1
"1551",2
"1552",0
"1553",11
"1554",0
"1555",9
"1556",3
"1557",5
"1558",1
"1559",5
"1560",11
"1561",5
"1562",1
"1563",4
"1564",0
"1565",4
"1566",2
"1567",0
"1568",0
"1569",0
"1570",3
"1571",1
"1572",8
"1573",0
"1574",2
"1575",1
"1576",1
"1577",1
"1578",7
"1579",1
"1580",0
"1581",2
"1582",5
"1583",0
"1584",8
"1585",0
"1586",2
"1587",1
"1588",7
"1589",10
"1590",8
"1591",1
"1592",0
"1593",0
"1594",1
"1595",6
"1596",0
"1597",3
"1598",1
"1599",3
"1600",2
"1601",5
"1602",5
"1603",0
"1604",0
"1605",0
"1606",1
"1607",3
"1608",0
"1609",8
"1610",9
"1611",0
"1612",1
"1613",1
"1614",4
"1615",6
"1616",8
"1617",9
"1618",5
"1619",1
"1620",1
"1621",1
"1622",3
"1623",2
"1624",4
"1625",0
"1626",0
"1627",3
"1628",0
"1629",18
"1630",0
"1631",2
"1632",1
"1633",0
"1634",8
"1635",4
"1636",3
"1637",0
"1638",1
"1639",0
"1640",4
"1641",0
"1642",2
"1643",0
"1644",1
"1645",0
"1646",3
"1647",0
"1648",1
"1649",2
"1650",19
"1651",0
"1652",1
"1653",1
"1654",5
"1655",0
"1656",0
"1657",0
"1658",14
"1659",2
"1660",1
"1661",7
"1662",1
"1663",5
"1664",2
"1665",13
"1666",2
"1667",2
"1668",3
"1669",5
"1670",2
"1671",2
"1672",4
"1673",0
"1674",1
"1675",3
"1676",2
"1677",2
"1678",2
"1679",2
"1680",13
"1681",4
"1682",0
"1683",1
"1684",10
"1685",0
"1686",3
"1687",1
"1688",1
"1689",3
"1690",0
"1691",3
"1692",2
"1693",8
"1694",2
"1695",3
"1696",1
"1697",0
"1698",0
"1699",2
"1700",0
"1701",0
"1702",2
"1703",1
"1704",0
"1705",8
"1706",0
"1707",10
"1708",0
"1709",6
"1710",3
"1711",5
"1712",1
"1713",2
"1714",0
"1715",2
"1716",2
"1717",11
"1718",4
"1719",0
"1720",3
"1721",1
"1722",4
"1723",2
"1724",1
"1725",1
"1726",3
"1727",3
"1728",9
"1729",1
"1730",4
"1731",2
"1732",7
"1733",1
"1734",9
"1735",3
"1736",8
"1737",11
"1738",1
"1739",4
"1740",0
"1741",2
"1742",1
"1743",0
"1744",2
"1745",1
"1746",9
"1747",1
"1748",11
"1749",0
"1750",2
"1751",3
"1752",3
"1753",4
"1754",6
"1755",3
"1756",1
"1757",1
"1758",0
"1759",1
"1760",0
"1761",1
"1762",3
"1763",11
"1764",0
"1765",7
"1766",2
"1767",0
"1768",1
"1769",4
"1770",3
"1771",1
"1772",0
"1773",2
"1774",1
"1775",0
"1776",4
"1777",6
"1778",5
"1779",2
"1780",1
"1781",1
"1782",6
"1783",0
"1784",0
"1785",4
"1786",1
"1787",5
"1788",1
"1789",4
"1790",0
"1791",15
"1792",3
"1793",1
"1794",5
"1795",1
"1796",12
"1797",1
"1798",8
"1799",2
"1800",1
"1801",0
"1802",0
"1803",1
"1804",1
"1805",7
"1806",0
"1807",3
"1808",6
"1809",1
"1810",0
"1811",7
"1812",4
"1813",6
"1814",1
"1815",17
"1816",0
"1817",1
"1818",9
"1819",6
"1820",1
"1821",6
"1822",0
"1823",1
"1824",1
"1825",1
"1826",2
"1827",7
"1828",1
"1829",0
"1830",0
"1831",0
"1832",1
"1833",1
"1834",2
"1835",9
"1836",2
"1837",7
"1838",1
"1839",9
"1840",3
"1841",1
"1842",3
"1843",1
"1844",6
"1845",0
"1846",13
"1847",0
"1848",0
"1849",1
"1850",0
"1851",2
"1852",3
"1853",2
"1854",1
"1855",0
"1856",2
"1857",4
"1858",1
"1859",4
"1860",0
"1861",0
"1862",7
"1863",6
"1864",2
"1865",7
"1866",11
"1867",10
"1868",1
"1869",0
"1870",0
"1871",0
"1872",1
"1873",3
"1874",5
"1875",2
"1876",11
"1877",3
"1878",3
"1879",1
"1880",6
"1881",7
"1882",5
"1883",1
"1884",11
"1885",3
"1886",5
"1887",2
"1888",1
"1889",0
"1890",0
"1891",2
"1892",0
"1893",4
"1894",9
"1895",2
"1896",0
"1897",0
"1898",1
"1899",1
"1900",3
"1901",7
"1902",5
"1903",0
"1904",1
"1905",7
"1906",3
"1907",3
"1908",1
"1909",7
"1910",0
"1911",2
"1912",6
"1913",2
"1914",0
"1915",1
"1916",1
"1917",0
"1918",4
"1919",0
"1920",0
"1921",9
"1922",1
"1923",8
"1924",1
"1925",0
"1926",9
"1927",1
"1928",3
"1929",1
"1930",1
"1931",2
"1932",9
"1933",3
"1934",2
"1935",2
"1936",7
"1937",1
"1938",2
"1939",0
"1940",0
"1941",11
"1942",1
"1943",4
"1944",0
"1945",2
"1946",3
"1947",2
"1948",5
"1949",1
"1950",2
"1951",1
"1952",1
"1953",10
"1954",1
"1955",1
"1956",0
"1957",12
"1958",1
"1959",7
"1960",1
"1961",4
"1962",0
"1963",0
"1964",13
"1965",2
"1966",0
"1967",5
"1968",8
"1969",4
"1970",8
"1971",0
"1972",8
"1973",6
"1974",0
"1975",4
"1976",1
"1977",1
"1978",2
"1979",0
"1980",11
"1981",1
"1982",0
"1983",0
"1984",4
"1985",2
"1986",2
"1987",3
"1988",1
"1989",2
"1990",0
"1991",1
"1992",2
"1993",5
"1994",8
"1995",2
"1996",5
"1997",3
"1998",3
"1999",6
"2000",3
"2001",0
"2002",2
"2003",5
"2004",1
"2005",3
"2006",6
"2007",1
"2008",5
"2009",3
"2010",1
"2011",12
"2012",11
"2013",1
"2014",4
"2015",0
"2016",1
"2017",7
"2018",5
"2019",0
"2020",9
"2021",4
"2022",1
"2023",1
"2024",1
"2025",3
"2026",10
"2027",0
"2028",0
"2029",2
"2030",0
"2031",2
"2032",1
"2033",0
"2034",4
"2035",5
"2036",1
"2037",2
"2038",0
"2039",7
"2040",6
"2041",4
"2042",1
"2043",5
"2044",10
"2045",3
"2046",0
"2047",0
"2048",11
"2049",2
"2050",5
"2051",3
"2052",4
"2053",6
"2054",3
"2055",4
"2056",4
"2057",2
"2058",1
"2059",3
"2060",23
"2061",0
"2062",0
"2063",8
"2064",3
"2065",0
"2066",0
"2067",2
"2068",2
"2069",1
"2070",4
"2071",0
"2072",0
"2073",3
"2074",0
"2075",5
"2076",3
"2077",0
"2078",0
"2079",2
"2080",2
"2081",1
"2082",0
"2083",5
"2084",5
"2085",0
"2086",3
"2087",4
"2088",3
"2089",0
"2090",0
"2091",3
"2092",9
"2093",2
"2094",0
"2095",8
"2096",2
"2097",5
"2098",2
"2099",2
"2100",0
"2101",1
"2102",3
"2103",0
"2104",1
"2105",2
"2106",1
"2107",2
"2108",0
"2109",3
"2110",1
"2111",2
"2112",3
"2113",3
"2114",3
"2115",4
"2116",2
"2117",2
"2118",0
"2119",5
"2120",4
"2121",11
"2122",4
"2123",1
"2124",1
"2125",0
"2126",6
"2127",8
"2128",0
"2129",2
"2130",0
"2131",1
"2132",3
"2133",3
"2134",5
"2135",1
"2136",5
"2137",5
"2138",6
"2139",2
"2140",2
"2141",1
"2142",1
"2143",7
"2144",6
"2145",3
"2146",1
"2147",2
"2148",3
"2149",0
"2150",7
"2151",0
"2152",4
"2153",0
"2154",2
"2155",0
"2156",1
"2157",0
"2158",8
"2159",6
"2160",4
"2161",0
"2162",5
"2163",7
"2164",0
"2165",1
"2166",3
"2167",1
"2168",13
"2169",3
"2170",5
"2171",0
"2172",1
"2173",1
"2174",2
"2175",1
"2176",6
"2177",7
"2178",0
"2179",0
"2180",0
"2181",2
"2182",3
"2183",1
"2184",0
"2185",6
"2186",0
"2187",0
"2188",4
"2189",2
"2190",1
"2191",4
"2192",3
"2193",1
"2194",2
"2195",1
"2196",3
"2197",6
"2198",2
"2199",0
"2200",3
"2201",3
"2202",1
"2203",2
"2204",8
"2205",8
"2206",1
"2207",3
"2208",2
"2209",10
"2210",0
"2211",10
"2212",0
"2213",2
"2214",3
"2215",0
"2216",4
"2217",0
"2218",6
"2219",2
"2220",5
"2221",2
"2222",0
"2223",3
"2224",1
"2225",17
"2226",0
"2227",4
"2228",1
"2229",0
"2230",5
"2231",3
"2232",7
"2233",4
"2234",4
"2235",3
"2236",10
"2237",1
"2238",0
"2239",2
"2240",2
"2241",5
"2242",0
"2243",4
"2244",1
"2245",3
"2246",4
"2247",0
"2248",9
"2249",2
"2250",6
"2251",0
"2252",3
"2253",0
"2254",4
"2255",4
"2256",3
"2257",0
"2258",10
"2259",9
"2260",0
"2261",0
"2262",0
"2263",0
"2264",4
"2265",2
"2266",0
"2267",5
"2268",4
"2269",8
"2270",0
"2271",3
"2272",1
"2273",4
"2274",5
"2275",8
"2276",7
"2277",0
"2278",0
"2279",15
"2280",5
"2281",7
"2282",1
"2283",1
"2284",0
"2285",0
"2286",0
"2287",5
"2288",0
"2289",0
"2290",1
"2291",14
"2292",8
"2293",16
"2294",8
"2295",0
"2296",2
"2297",3
"2298",1
"2299",4
"2300",0
"2301",8
"2302",3
"2303",1
"2304",4
"2305",3
"2306",2
"2307",2
"2308",5
"2309",0
"2310",1
"2311",9
"2312",3
"2313",0
"2314",2
"2315",1
"2316",0
"2317",0
"2318",2
"2319",0
"2320",4
"2321",0
"2322",2
"2323",1
"2324",3
"2325",0
"2326",1
"2327",6
"2328",0
"2329",11
"2330",0
"2331",1
"2332",1
"2333",6
"2334",0
"2335",3
"2336",0
"2337",4
"2338",1
"2339",3
"2340",4
"2341",8
"2342",1
"2343",3
"2344",3
"2345",3
"2346",1
"2347",11
"2348",0
"2349",1
"2350",5
"2351",1
"2352",2
"2353",3
"2354",2
"2355",1
"2356",34
"2357",0
"2358",10
"2359",0
"2360",2
"2361",2
"2362",4
"2363",1
"2364",9
"2365",1
"2366",3
"2367",0
"2368",4
"2369",0
"2370",23
"2371",0
"2372",10
"2373",0
"2374",2
"2375",4
"2376",3
"2377",7
"2378",0
"2379",2
"2380",0
"2381",12
"2382",1
"2383",7
"2384",7
"2385",1
"2386",5
"2387",7
"2388",1
"2389",4
"2390",4
"2391",5
"2392",5
"2393",2
"2394",0
"2395",1
"2396",3
"2397",19
"2398",2
"2399",0
"2400",1
"2401",0
"2402",0
"2403",0
"2404",2
"2405",1
"2406",0
"2407",0
"2408",3
"2409",2
"2410",5
"2411",7
"2412",13
"2413",8
"2414",1
"2415",1
"2416",5
"2417",0
"2418",12
"2419",2
"2420",3
"2421",3
"2422",11
"2423",4
"2424",2
"2425",7
"2426",10
"2427",2
"2428",3
"2429",0
"2430",0
"2431",1
"2432",13
"2433",0
"2434",1
"2435",1
"2436",4
"2437",4
"2438",5
"2439",1
"2440",1
"2441",2
"2442",4
"2443",12
"2444",1
"2445",3
"2446",7
"2447",7
"2448",1
"2449",17
"2450",2
"2451",2
"2452",5
"2453",6
"2454",5
"2455",2
"2456",3
"2457",1
"2458",2
"2459",0
"2460",2
"2461",9
"2462",0
"2463",7
"2464",2
"2465",3
"2466",2
"2467",2
"2468",5
"2469",0
"2470",7
"2471",3
"2472",0
"2473",1
"2474",2
"2475",0
"2476",0
"2477",4
"2478",2
"2479",1
"2480",0
"2481",14
"2482",0
"2483",3
"2484",3
"2485",1
"2486",4
"2487",4
"2488",2
"2489",7
"2490",0
"2491",3
"2492",7
"2493",9
"2494",5
"2495",3
"2496",9
"2497",2
"2498",1
